0.144, 0.01, 0.025, 0.006, 0.08, 0.028
0.169, 0.013, 0.024, 0.006, 0.05, 0.029
0.16, 0.01, 0.026, 0.007, 0.066, 0.027
0.153, 0.009, 0.023, 0.007, 0.051, 0.027
0.161, 0.009, 0.023, 0.006, 0.051, 0.03
0.222, 0.01, 0.025, 0.009, 0.053, 0.032
0.168, 0.01, 0.023, 0.005, 0.049, 0.028
0.157, 0.01, 0.024, 0.006, 0.085, 0.108
0.177, 0.009, 0.025, 0.008, 0.049, 0.035
0.154, 0.01, 0.033, 0.009, 0.052, 0.026
0.166, 0.01, 0.029, 0.01, 0.05, 0.028
0.162, 0.011, 0.022, 0.006, 0.052, 0.029
0.145, 0.01, 0.022, 0.006, 0.065, 0.071
0.158, 0.01, 0.028, 0.007, 0.046, 0.031
0.143, 0.008, 0.026, 0.005, 0.062, 0.029
0.325, 0.009, 0.024, 0.009, 0.088, 0.062
0.148, 0.01, 0.025, 0.007, 0.054, 0.036
0.152, 0.009, 0.031, 0.01, 0.077, 0.08
0.147, 0.01, 0.027, 0.008, 0.05, 0.046
0.166, 0.013, 0.026, 0.006, 0.058, 0.045
0.158, 0.011, 0.025, 0.007, 0.058, 0.071
0.151, 0.009, 0.026, 0.007, 0.056, 0.043
0.171, 0.013, 0.035, 0.007, 0.059, 0.053
0.173, 0.022, 0.034, 0.006, 0.052, 0.045
0.222, 0.007, 0.023, 0.007, 0.051, 0.044
0.296, 0.012, 0.039, 0.008, 0.062, 0.069
0.22, 0.009, 0.026, 0.008, 0.057, 0.047
0.251, 0.009, 0.024, 0.006, 0.066, 0.053
0.246, 0.01, 0.023, 0.007, 0.058, 0.058
0.283, 0.009, 0.033, 0.007, 0.058, 0.035
0.284, 0.01, 0.025, 0.006, 0.054, 0.036
0.343, 0.01, 0.023, 0.007, 0.054, 0.053
0.267, 0.01, 0.023, 0.006, 0.066, 0.037
0.257, 0.01, 0.024, 0.007, 0.056, 0.035
0.241, 0.01, 0.028, 0.006, 0.055, 0.037
0.267, 0.009, 0.024, 0.006, 0.056, 0.036
0.217, 0.009, 0.023, 0.007, 0.069, 0.061
0.241, 0.01, 0.024, 0.005, 0.082, 0.048
0.233, 0.013, 0.025, 0.006, 0.089, 0.041
0.212, 0.013, 0.024, 0.006, 0.07, 0.044
0.256, 0.009, 0.025, 0.007, 0.074, 0.035
0.252, 0.011, 0.03, 0.009, 0.091, 0.054
0.288, 0.01, 0.026, 0.007, 0.087, 0.043
0.254, 0.011, 0.027, 0.006, 0.077, 0.04
