0.121, 0.493, 2.674, 0.02, 0.031, 0.062
0.248, 0.043, 0.048, 0.017, 0.024, 0.05
0.119, 0.034, 0.06, 0.009, 0.022, 0.045
0.192, 0.932, 1.236, 0.03, 0.029, 0.065
0.108, 1.301, 1.54, 0.048, 0.062, 0.076
0.159, 3.67, 6.072, 0.016, 0.024, 0.05
0.165, 4.1, 0.585, 0.015, 0.021, 0.046
0.142, 0.355, 0.039, 0.01, 0.019, 0.037
0.114, 0.094, 0.036, 0.008, 0.016, 0.027
0.141, 0.047, 0.045, 0.01, 0.019, 0.036
0.121, 0.037, 0.049, 0.011, 0.018, 0.031
0.159, 0.032, 0.039, 0.007, 0.015, 0.027
0.126, 0.032, 0.042, 0.008, 0.019, 0.03
0.147, 0.033, 0.042, 0.008, 0.021, 0.035
0.129, 0.032, 0.031, 0.008, 0.016, 0.026
0.109, 0.033, 0.044, 0.009, 0.016, 0.029
0.138, 0.035, 0.048, 0.012, 0.019, 0.034
0.11, 0.021, 0.032, 0.008, 0.017, 0.028
0.226, 0.037, 0.046, 0.009, 0.017, 0.029
0.153, 0.036, 0.046, 0.009, 0.017, 0.03
0.133, 0.036, 0.041, 0.007, 0.017, 0.04
0.362, 0.036, 0.044, 0.009, 0.016, 0.031
0.191, 0.038, 0.045, 0.009, 0.019, 0.033
0.108, 0.031, 0.039, 0.006, 0.016, 0.026
0.171, 0.043, 0.053, 0.009, 0.018, 0.034
0.137, 0.033, 0.049, 0.011, 0.017, 0.034
0.15, 0.017, 0.116, 0.008, 0.016, 0.029
0.158, 0.041, 0.045, 0.009, 0.017, 0.03
0.162, 0.054, 0.046, 0.009, 0.019, 0.034
0.137, 0.029, 0.031, 0.007, 0.017, 0.038
0.15, 0.042, 0.043, 0.008, 0.017, 0.031
0.138, 0.032, 0.033, 0.009, 0.017, 0.032
0.134, 0.051, 0.049, 0.007, 0.016, 0.028
0.123, 0.035, 0.047, 0.01, 0.017, 0.031
0.169, 0.1, 0.048, 0.009, 0.017, 0.033
0.159, 0.034, 0.045, 0.008, 0.019, 0.029
0.187, 0.04, 0.047, 0.008, 0.022, 0.039
0.144, 0.07, 0.049, 0.01, 0.019, 0.033
0.141, 0.041, 0.044, 0.011, 0.022, 0.036
0.146, 0.033, 0.043, 0.008, 0.018, 0.032
0.131, 0.033, 0.044, 0.01, 0.017, 0.031
0.112, 0.037, 0.041, 0.009, 0.017, 0.029
0.118, 0.038, 0.043, 0.008, 0.016, 0.028
0.131, 0.041, 0.041, 0.013, 0.029, 0.063
0.107, 0.034, 0.045, 0.011, 0.02, 0.037
0.175, 0.036, 0.042, 0.01, 0.02, 0.037
0.14, 0.035, 0.044, 0.013, 0.023, 0.04
0.109, 0.034, 0.031, 0.01, 0.02, 0.035
0.127, 0.284, 0.038, 0.009, 0.017, 0.038
0.149, 0.035, 0.041, 0.011, 0.019, 0.033
0.119, 0.119, 0.035, 0.009, 0.017, 0.031
0.114, 0.035, 0.041, 0.01, 0.018, 0.033
0.133, 0.056, 0.043, 0.015, 0.018, 0.036
0.152, 0.039, 0.037, 0.009, 0.017, 0.029
